Ending Value,Non-permanent resident types,Non-PR greater than 52000,Period,Province,Quarters,Start Value,Years,Increase in Permit Holders,Max_NonPR_Type,Total Work Permit Holders,Values
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ4,Manitoba,Q4,,01-01-2021,,504,504,504
,"Total, permit holders and their family members",,2021-01-01QQ4,Manitoba,Q4,,01-01-2021,,35071,35071,35071
,Work permit holders only,,2021-01-01QQ4,Manitoba,Q4,,01-01-2021,,15473,15473,15473
,Study permit holders only,,2021-01-01QQ4,Manitoba,Q4,,01-01-2021,,13842,13842,13842
,Work and study permit holders,,2021-01-01QQ4,Manitoba,Q4,,01-01-2021,,4743,4743,4743
,Other,,2021-01-01QQ4,Manitoba,Q4,,01-01-2021,,1013,1013,1013
,"Total, non-permanent residents",,2021-01-01QQ4,Saskatchewan,Q4,,01-01-2021,,19920,19920,19920
,"Total, asylum claimants, protected persons and related groups ",,2021-01-01QQ4,Saskatchewan,Q4,,01-01-2021,,232,232,232
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ4,Saskatchewan,Q4,,01-01-2021,,125,125,125
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ4,Saskatchewan,Q4,,01-01-2021,,1,1,1
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ4,Saskatchewan,Q4,,01-01-2021,,12,12,12
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ4,Saskatchewan,Q4,,01-01-2021,,94,94,94
,"Total, permit holders and their family members",,2021-01-01QQ4,Saskatchewan,Q4,,01-01-2021,,19688,19688,19688
,Work permit holders only,,2021-01-01QQ4,Saskatchewan,Q4,,01-01-2021,,9097,9097,9097
,Study permit holders only,,2021-01-01QQ4,Saskatchewan,Q4,,01-01-2021,,7774,7774,7774
,Work and study permit holders,,2021-01-01QQ4,Saskatchewan,Q4,,01-01-2021,,1886,1886,1886
,Other,,2021-01-01QQ4,Saskatchewan,Q4,,01-01-2021,,931,931,931
,"Total, non-permanent residents",,2021-01-01QQ4,Yukon,Q4,,01-01-2021,,1014,1014,1014
,"Total, asylum claimants, protected persons and related groups ",,2021-01-01QQ4,Yukon,Q4,,01-01-2021,,1,1,1
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ4,Yukon,Q4,,01-01-2021,,1,1,1
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ4,Yukon,Q4,,01-01-2021,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ4,Yukon,Q4,,01-01-2021,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ4,Yukon,Q4,,01-01-2021,,0,0,0
,"Total, permit holders and their family members",,2021-01-01QQ4,Yukon,Q4,,01-01-2021,,1013,1013,1013
,Work permit holders only,,2021-01-01QQ4,Yukon,Q4,,01-01-2021,,772,772,772
,Study permit holders only,,2021-01-01QQ4,Yukon,Q4,,01-01-2021,,179,179,179
,Work and study permit holders,,2021-01-01QQ4,Yukon,Q4,,01-01-2021,,42,42,42
,Other,,2021-01-01QQ4,Yukon,Q4,,01-01-2021,,20,20,20
,"Total, non-permanent residents",,2021-01-01QQ4,Northwest Territories,Q4,,01-01-2021,,360,360,360
,"Total, asylum claimants, protected persons and related groups ",,2021-01-01QQ4,Northwest Territories,Q4,,01-01-2021,,0,0,0
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ4,Northwest Territories,Q4,,01-01-2021,,0,0,0
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ4,Northwest Territories,Q4,,01-01-2021,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ4,Northwest Territories,Q4,,01-01-2021,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ4,Northwest Territories,Q4,,01-01-2021,,0,0,0
,"Total, permit holders and their family members",,2021-01-01QQ4,Northwest Territories,Q4,,01-01-2021,,360,360,360
,Work permit holders only,,2021-01-01QQ4,Northwest Territories,Q4,,01-01-2021,,309,309,309
,Study permit holders only,,2021-01-01QQ4,Northwest Territories,Q4,,01-01-2021,,29,29,29
,Work and study permit holders,,2021-01-01QQ4,Northwest Territories,Q4,,01-01-2021,,13,13,13
,Other,,2021-01-01QQ4,Northwest Territories,Q4,,01-01-2021,,9,9,9
,"Total, non-permanent residents",,2021-01-01QQ4,Nunavat,Q4,,01-01-2021,,112,112,112
,"Total, asylum claimants, protected persons and related groups ",,2021-01-01QQ4,Nunavat,Q4,,01-01-2021,,3,3,3
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ4,Nunavat,Q4,,01-01-2021,,3,3,3
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ4,Nunavat,Q4,,01-01-2021,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ4,Nunavat,Q4,,01-01-2021,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ4,Nunavat,Q4,,01-01-2021,,0,0,0
,"Total, permit holders and their family members",,2021-01-01QQ4,Nunavat,Q4,,01-01-2021,,109,109,109
,Work permit holders only,,2021-01-01QQ4,Nunavat,Q4,,01-01-2021,,85,85,85
,Study permit holders only,,2021-01-01QQ4,Nunavat,Q4,,01-01-2021,,7,7,7
,Work and study permit holders,,2021-01-01QQ4,Nunavat,Q4,,01-01-2021,,8,8,8
,Other,,2021-01-01QQ4,Nunavat,Q4,,01-01-2021,,9,9,9
,"Total, non-permanent residents","Total, non-permanent residents",2022-01-01QQ1,Ontario,Q1,,01-01-2022,,611778,611778,611778
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2022-01-01QQ1,Ontario,Q1,,01-01-2022,,66652,66652,66652
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ1,Ontario,Q1,,01-01-2022,,29079,29079,29079
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ1,Ontario,Q1,,01-01-2022,,713,713,713
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ1,Ontario,Q1,,01-01-2022,,1523,1523,1523
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ1,Ontario,Q1,,01-01-2022,,35337,35337,35337
,"Total, permit holders and their family members","Total, permit holders and their family members",2022-01-01QQ1,Ontario,Q1,,01-01-2022,,545126,545126,545126
,Work permit holders only,Work permit holders only,2022-01-01QQ1,Ontario,Q1,,01-01-2022,,228508,228508,228508
,Study permit holders only,Study permit holders only,2022-01-01QQ1,Ontario,Q1,,01-01-2022,,204291,204291,204291
,Work and study permit holders,Work and study permit holders,2022-01-01QQ1,Ontario,Q1,,01-01-2022,,92424,92424,92424
,Other,,2022-01-01QQ1,Ontario,Q1,,01-01-2022,,19903,19903,19903
,"Total, non-permanent residents","Total, non-permanent residents",2022-01-01QQ1,British Columbia,Q1,,01-01-2022,,258058,258058,258058
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ1,British Columbia,Q1,,01-01-2022,,7902,7902,7902
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ1,British Columbia,Q1,,01-01-2022,,3847,3847,3847
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ1,British Columbia,Q1,,01-01-2022,,158,158,158
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ1,British Columbia,Q1,,01-01-2022,,241,241,241
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ1,British Columbia,Q1,,01-01-2022,,3656,3656,3656
,"Total, permit holders and their family members","Total, permit holders and their family members",2022-01-01QQ1,British Columbia,Q1,,01-01-2022,,250156,250156,250156
,Work permit holders only,Work permit holders only,2022-01-01QQ1,British Columbia,Q1,,01-01-2022,,103901,103901,103901
,Study permit holders only,Study permit holders only,2022-01-01QQ1,British Columbia,Q1,,01-01-2022,,111836,111836,111836
,Work and study permit holders,,2022-01-01QQ1,British Columbia,Q1,,01-01-2022,,24517,24517,24517
,Other,,2022-01-01QQ1,British Columbia,Q1,,01-01-2022,,9902,9902,9902
,"Total, non-permanent residents","Total, non-permanent residents",2022-01-01QQ1,Alberta,Q1,,01-01-2022,,78578,78578,78578
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ1,Alberta,Q1,,01-01-2022,,3957,3957,3957
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ1,Alberta,Q1,,01-01-2022,,1992,1992,1992
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ1,Alberta,Q1,,01-01-2022,,33,33,33
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ1,Alberta,Q1,,01-01-2022,,86,86,86
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ1,Alberta,Q1,,01-01-2022,,1846,1846,1846
,"Total, permit holders and their family members","Total, permit holders and their family members",2022-01-01QQ1,Alberta,Q1,,01-01-2022,,74621,74621,74621
,Work permit holders only,,2022-01-01QQ1,Alberta,Q1,,01-01-2022,,38054,38054,38054
,Study permit holders only,,2022-01-01QQ1,Alberta,Q1,,01-01-2022,,27362,27362,27362
,Work and study permit holders,,2022-01-01QQ1,Alberta,Q1,,01-01-2022,,5545,5545,5545
,Other,,2022-01-01QQ1,Alberta,Q1,,01-01-2022,,3660,3660,3660
,"Total, non-permanent residents",,2022-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2022,,7793,7793,7793
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2022,,67,67,67
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2022,,29,29,29
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2022,,5,5,5
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2022,,1,1,1
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2022,,32,32,32
,"Total, permit holders and their family members",,2022-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2022,,7726,7726,7726
,Work permit holders only,,2022-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2022,,2482,2482,2482
,Study permit holders only,,2022-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2022,,4100,4100,4100
,Work and study permit holders,,2022-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2022,,845,845,845
,Other,,2022-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2022,,299,299,299
,"Total, non-permanent residents",,2022-01-01QQ1,Prince Edward Island,Q1,,01-01-2022,,7422,7422,7422
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ1,Prince Edward Island,Q1,,01-01-2022,,17,17,17
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ1,Prince Edward Island,Q1,,01-01-2022,,6,6,6
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ1,Prince Edward Island,Q1,,01-01-2022,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ1,Prince Edward Island,Q1,,01-01-2022,,1,1,1
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ1,Prince Edward Island,Q1,,01-01-2022,,10,10,10
,"Total, permit holders and their family members",,2022-01-01QQ1,Prince Edward Island,Q1,,01-01-2022,,7405,7405,7405
,Work permit holders only,,2022-01-01QQ1,Prince Edward Island,Q1,,01-01-2022,,3502,3502,3502
,Study permit holders only,,2022-01-01QQ1,Prince Edward Island,Q1,,01-01-2022,,3288,3288,3288
,Work and study permit holders,,2022-01-01QQ1,Prince Edward Island,Q1,,01-01-2022,,404,404,404
,Other,,2022-01-01QQ1,Prince Edward Island,Q1,,01-01-2022,,211,211,211
,"Total, non-permanent residents",,2022-01-01QQ1,Nova Scotia,Q1,,01-01-2022,,27944,27944,27944
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ1,Nova Scotia,Q1,,01-01-2022,,249,249,249
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ1,Nova Scotia,Q1,,01-01-2022,,128,128,128
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ1,Nova Scotia,Q1,,01-01-2022,,12,12,12
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ1,Nova Scotia,Q1,,01-01-2022,,16,16,16
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ1,Nova Scotia,Q1,,01-01-2022,,93,93,93
,"Total, permit holders and their family members",,2022-01-01QQ1,Nova Scotia,Q1,,01-01-2022,,27695,27695,27695
,Work permit holders only,,2022-01-01QQ1,Nova Scotia,Q1,,01-01-2022,,11025,11025,11025
,Study permit holders only,,2022-01-01QQ1,Nova Scotia,Q1,,01-01-2022,,11786,11786,11786
,Work and study permit holders,,2022-01-01QQ1,Nova Scotia,Q1,,01-01-2022,,3626,3626,3626
,Other,,2022-01-01QQ1,Nova Scotia,Q1,,01-01-2022,,1258,1258,1258
,"Total, non-permanent residents",,2022-01-01QQ1,New Brunswick,Q1,,01-01-2022,,15538,15538,15538
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ1,New Brunswick,Q1,,01-01-2022,,140,140,140
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ1,New Brunswick,Q1,,01-01-2022,,66,66,66
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ1,New Brunswick,Q1,,01-01-2022,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ1,New Brunswick,Q1,,01-01-2022,,3,3,3
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ1,New Brunswick,Q1,,01-01-2022,,71,71,71
,"Total, permit holders and their family members",,2022-01-01QQ1,New Brunswick,Q1,,01-01-2022,,15398,15398,15398
,Work permit holders only,,2022-01-01QQ1,New Brunswick,Q1,,01-01-2022,,6786,6786,6786
,Study permit holders only,,2022-01-01QQ1,New Brunswick,Q1,,01-01-2022,,5507,5507,5507
,Work and study permit holders,,2022-01-01QQ1,New Brunswick,Q1,,01-01-2022,,2402,2402,2402
,Other,,2022-01-01QQ1,New Brunswick,Q1,,01-01-2022,,703,703,703
,"Total, non-permanent residents","Total, non-permanent residents",2022-01-01QQ1,Quebec,Q1,,01-01-2022,,291987,291987,291987
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2022-01-01QQ1,Quebec,Q1,,01-01-2022,,78817,78817,78817
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ1,Quebec,Q1,,01-01-2022,,38280,38280,38280
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ1,Quebec,Q1,,01-01-2022,,416,416,416
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ1,Quebec,Q1,,01-01-2022,,1301,1301,1301
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ1,Quebec,Q1,,01-01-2022,,38820,38820,38820
,"Total, permit holders and their family members","Total, permit holders and their family members",2022-01-01QQ1,Quebec,Q1,,01-01-2022,,213170,213170,213170
,Work permit holders only,Work permit holders only,2022-01-01QQ1,Quebec,Q1,,01-01-2022,,106363,106363,106363
,Study permit holders only,Study permit holders only,2022-01-01QQ1,Quebec,Q1,,01-01-2022,,63455,63455,63455
,Work and study permit holders,,2022-01-01QQ1,Quebec,Q1,,01-01-2022,,30770,30770,30770
,Other,,2022-01-01QQ1,Quebec,Q1,,01-01-2022,,12582,12582,12582
,"Total, non-permanent residents",,2022-01-01QQ1,Manitoba,Q1,,01-01-2022,,36412,36412,36412
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ1,Manitoba,Q1,,01-01-2022,,1509,1509,1509
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ1,Manitoba,Q1,,01-01-2022,,844,844,844
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ1,Manitoba,Q1,,01-01-2022,,17,17,17
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ1,Manitoba,Q1,,01-01-2022,,24,24,24
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ1,Manitoba,Q1,,01-01-2022,,624,624,624
,"Total, permit holders and their family members",,2022-01-01QQ1,Manitoba,Q1,,01-01-2022,,34903,34903,34903
,Work permit holders only,,2022-01-01QQ1,Manitoba,Q1,,01-01-2022,,14445,14445,14445
,Study permit holders only,,2022-01-01QQ1,Manitoba,Q1,,01-01-2022,,14672,14672,14672
,Work and study permit holders,,2022-01-01QQ1,Manitoba,Q1,,01-01-2022,,4785,4785,4785
,Other,,2022-01-01QQ1,Manitoba,Q1,,01-01-2022,,1001,1001,1001
,"Total, non-permanent residents",,2022-01-01QQ1,Saskatchewan,Q1,,01-01-2022,,19785,19785,19785
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ1,Saskatchewan,Q1,,01-01-2022,,214,214,214
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ1,Saskatchewan,Q1,,01-01-2022,,94,94,94
